Youtuber;subscribers;views;category
T-Series;245000000;2.28E+11;Music
YouTube Movies;170000000;0;Film & Animation
MrBeast;166000000;28368841870;Entertainment
Cocomelon - Nursery Rhymes;162000000;1.64E+11;Education
SET India;159000000;1.48E+11;Shows
Music;119000000;0;nan
ýýý Kids Diana Show;112000000;93247040539;People & Blogs
PewDiePie;111000000;29058044447;Gaming
Like Nastya;106000000;90479060027;People & Blogs
Vlad and Niki;98900000;77180169894;Entertainment
Zee Music Company;96700000;57856289381;Music
WWE;96000000;77428473662;Sports
Gaming;93600000;0;nan
BLACKPINK;89800000;32144597566;People & Blogs
Goldmines;86900000;24118230580;Film & Animation
Sony SAB;83000000;1.01E+11;Shows
5-Minute Crafts;80100000;26236790209;Howto & Style
BANGTANTV;75600000;20826993957;Music
Sports;75000000;0;nan
Justin Bieber;71600000;30608119724;Music
HYBE LABELS;71300000;28634566938;Music
Zee TV;70500000;73139054467;Entertainment
Pinkfong Baby Shark - Kids' Songs & Stories;68200000;38843229963;Education
Canal KondZilla;66500000;36775585925;Music
ChuChu TV Nursery Rhymes & Kids Songs;65900000;45757850229;Education
Shemaroo Filmi Gaane;65600000;28648024439;Music
Colors TV;64600000;61510906457;Shows
T-Series Bhakti Sagar;61000000;29533230328;Music
Dude Perfect;59500000;16241549158;Sports
Movieclips;59500000;59316472754;Film & Animation
Tips Official;59300000;33431802698;Music
El Reino Infantil;58400000;57271630846;Music
Wave Music;58000000;40602020243;Music
Aaj Tak;57600000;25307753534;News & Politics
Sony Music India;57200000;28837144516;Music
EminemMusic;56900000;27073872856;Music
Marshmello;56400000;14696003229;Entertainment
YRF;54600000;35302243691;Film & Animation
LooLoo Kids - Nursery Rhymes and Children's Songs;54000000;32312431239;Music
Ed Sheeran;53500000;30367676736;Music
Infobells - Hindi;53300000;30516172739;Education
Taylor Swift;52900000;29884657286;Music
Ariana Grande;52700000;24004842608;Music
BillionSurpriseToys  - Nursery Rhymes & Cartoons;52200000;9877365274;Education
JuegaGerman;48100000;14631710289;Gaming
Billie Eilish;47900000;13626331061;Music
Get Movies;47500000;30788679536;Entertainment
Shemaroo;47400000;22519705183;Entertainment
Badabun;46800000;19398045702;Entertainment
SonyMusicIndiaVEVO;46600000;27286058807;Music
A4;46300000;22936630813;Gaming
Bad Bunny;46100000;30686342319;Music
Fernanfloo;46100000;10323391593;Gaming
Voot Kids;45500000;21388725229;Entertainment
Felipe Neto;45200000;16602198273;Entertainment
Vocï¿½ï¿½ï¿½;44700000;7828610828;Entertainment
HAR PAL GEO;44600000;41139050371;Entertainment
BRIGHT SIDE;44500000;10708531817;Howto & Style
Katy Perry;44200000;25458952022;Music
whinderssonnunes;44200000;4274709210;Comedy
ABS-CBN Entertainment;44200000;50292540392;People & Blogs
Alan Walker;43700000;12884264778;Music
HolaSoyGerman.;43600000;4831311245;Entertainment
Shakira;43500000;27568757295;People & Blogs
ýýýýýýýý ýý ýýýýýýýýýýýýýý;43200000;36458726976;Film & Animation
ARY Digital HD;43200000;37939780685;Entertainment
Speed Records;42500000;26820902622;Music
Masha and The Bear;42400000;24519022988;Shows
Like Nastya Show;42400000;19547696190;Entertainment
Rihanna;41900000;22477745835;Entertainment
Ishtar Music;41400000;17608931161;Trailers
Kimberly Loaiza;41300000;5603111948;People & Blogs
Little Baby Bum - Nursery Rhymes & Kids Songs;40900000;39450824833;Education
Luisito Comunica;40600000;8670473639;Comedy
elrubiusOMG;40400000;7410536668;Gaming
Toys and Colors;40300000;47005053156;Entertainment
shfa2 - ï¿½ï¿½;39700000;23884824160;People & Blogs
LUCCAS NETO - LUCCAS TOON;39400000;22302547082;People & Blogs
CarryMinati;39200000;3294013141;Comedy
XXXTENTACION;39200000;10507474316;Music
Super Simple Songs - Kids Songs;39200000;44900897958;Education
Mikecrack;39100000;16118181673;Gaming
WorkpointOfficial;39000000;36131228583;Entertainment
GR6 EXPLODE;38900000;25154232306;Music
TEDx Talks;38600000;7339333120;Nonprofits & Activism
shfa;38400000;21528116909;People & Blogs
Goldmines Gaane Sune Ansune;38300000;16718192386;Music
One Direction;38200000;13598903820;Music
TheEllenShow;38200000;22756581750;Entertainment
Sony PAL;38200000;28519339489;Shows
Daddy Yankee;38000000;22731415608;Music
Vlad vï¿½ï¿½ï;37900000;23510152352;nan
Like Nastya ESP;37600000;18208196857;Entertainment
ýýýýýýýýýýýý one31;37500000;27262462114;Entertainment
